Climate Zone,Forest Type,Sap Velocity Mean,Sap Velocity Median,Sap Velocity Std,Sap Velocity Min,Sap Velocity Max,Count
A - Tropical,EBF - Evergreen Broadleaf,28.314651,29.251904,3.331048,6.5379915,39.595478,67765
A - Tropical,DBF - Deciduous Broadleaf,25.079649,25.257797,3.3317099,8.441312,34.65564,3046
A - Tropical,MF - Mixed Forest,24.314339,26.866894,5.849718,8.405568,33.34542,1428
A - Tropical,WSA - Woody Savannas,25.745815,27.694164,6.115811,7.340429,38.639244,13014
A - Tropical,SAV - Savannas,25.027431,25.764206,4.7013364,4.396408,38.350895,53060
B - Arid,ENF - Evergreen Needleleaf,3.7039566,3.8657832,1.7899572,0.9088038,10.0019,67
B - Arid,EBF - Evergreen Broadleaf,24.623497,24.415377,2.9016712,18.55196,29.47838,30
B - Arid,DBF - Deciduous Broadleaf,20.675472,24.791126,8.759511,0.94124305,30.071115,372
B - Arid,MF - Mixed Forest,13.046515,12.693137,6.5796776,3.5401845,25.802423,30
B - Arid,WSA - Woody Savannas,17.24578,25.414291,11.678395,0.44333586,32.97864,1311
B - Arid,SAV - Savannas,22.452297,25.552624,8.513399,0.5470762,33.628796,4684
C - Temperate,ENF - Evergreen Needleleaf,5.1758714,3.6575863,5.598743,0.73678726,40.8181,2575
C - Temperate,EBF - Evergreen Broadleaf,22.641937,25.336803,8.152797,1.1765912,40.275856,6771
C - Temperate,DBF - Deciduous Broadleaf,14.159017,12.987271,7.547254,0.92001384,47.215515,4598
C - Temperate,MF - Mixed Forest,13.778961,14.708021,8.605175,0.71249634,45.608116,3854
C - Temperate,WSA - Woody Savannas,15.132622,15.567149,7.3244915,0.69466025,38.233353,13714
C - Temperate,SAV - Savannas,17.307114,19.031515,10.025207,0.91543335,38.430653,23808
D - Continental,ENF - Evergreen Needleleaf,2.227139,1.7384901,1.537546,0.42599407,38.209335,25621
D - Continental,EBF - Evergreen Broadleaf,3.8944051,3.3555758,1.9800563,1.2615371,9.301701,23
D - Continental,DNF - Deciduous Needleleaf,2.891064,3.2145276,1.6963702,1.0625787,48.104954,1533
D - Continental,DBF - Deciduous Broadleaf,3.6360464,3.5500998,1.6743351,0.47381485,15.742132,11709
D - Continental,MF - Mixed Forest,2.7713847,2.4825697,1.8061354,0.418966,47.418804,57229
D - Continental,WSA - Woody Savannas,2.592724,2.7560923,1.2545878,0.4235095,54.009293,96051
D - Continental,SAV - Savannas,2.873501,3.198501,1.0972022,0.4106812,17.713066,75631
E - Polar,ENF - Evergreen Needleleaf,3.63347,2.048792,6.147051,0.55106103,49.61062,747
E - Polar,EBF - Evergreen Broadleaf,7.1665473,4.4910746,6.411919,2.078246,31.690594,174
E - Polar,DBF - Deciduous Broadleaf,2.057236,1.6975282,1.1634437,0.9143327,6.618767,127
E - Polar,MF - Mixed Forest,6.3969464,3.483604,7.877361,0.58976257,51.51226,741
E - Polar,WSA - Woody Savannas,4.0508494,2.8003058,6.0571084,0.4810751,41.984905,1493
E - Polar,SAV - Savannas,3.3820243,3.2397466,2.389284,0.71465796,25.50402,1166
