,R²,RMSE,MAE,Samples,Is Forest
Barren or Sparsely Vegetated,0.9264940619468689,1.1194228,0.7239198,807,False
Grasslands,0.8853545784950256,4.5095534,1.5232097,3228,False
Savannas,0.8852325677871704,1.7575085,0.9673894,5649,False
Woody Savannas,0.880739688873291,1.8751768,0.9485917,4035,False
Evergreen Broadleaf Forest,0.8351333141326904,2.455733,1.1627244,8608,True
Deciduous Broadleaf Forest,0.8320714235305786,1.2464323,0.67520493,6994,True
Croplands,0.8175097703933716,2.6649525,1.3521,2152,False
Unclassified,0.8074995279312134,0.70906925,0.41557074,538,False
Open Shrublands,0.8046590089797974,1.4621152,0.78671056,1614,True
Mixed Forest,0.7776719927787781,1.4953055,0.69138503,4035,True
Evergreen Needleleaf Forest,0.7017546892166138,2.472754,0.93127054,6456,True
Closed Shrublands,0.629219651222229,5.738803,4.0240717,269,True
